,会社名,対象,初年度年収
21,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,《人物・人柄重視の育成枠採用です》～新しいスタートを応援／未経験スタートの先輩も在籍～◎経験者は優遇します※資格は問いません,《人物・人柄重視の育成枠採用です》～新しいスタートを応援／未経験スタートの先輩も在籍～◎経験者は優遇します※資格は問いません
22,株式会社アイエスエフネット | ★在宅勤務OK★完全週休2日★平均残業7.8h★インセンMAX60％,【転勤なし・UIターン歓迎】 ◆本社／大阪府大阪市西成区玉出中1丁目13番23号 ※四つ橋線『玉出…,【転勤なし・UIターン歓迎】 ◆本社／大阪府大阪市西成区玉出中1丁目13番23号 ※四つ橋線『玉出…
23,株式会社コシダカ | 【上場グループ企業】月収例29.4万円★月8~10日休★年2回5連休！,"◆月給：24万2,000円以上+資格手当+各種手当 ※未経験の場合 ◆月給：26万4,000円以上 ※実務経験者の場…","◆月給：24万2,000円以上+資格手当+各種手当 ※未経験の場合 ◆月給：26万4,000円以上 ※実務経験者の場…"
24,株式会社コシダカ | 【上場グループ企業】スピード昇格可★土日休みOK★年2回5連休,400万円～500万円,400万円～500万円
25,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★安定基盤,完全未経験OK！「やりたいことがない…」そんな方もOK！化粧品・医薬品/半導体/自動車分野におけるものづくり業務★8/9月入社歓迎,完全未経験OK！「やりたいことがない…」そんな方もOK！化粧品・医薬品/半導体/自動車分野におけるものづくり業務★8/9月入社歓迎
26,株式会社TCG | 【前職給与保証！働く時間は12～18時の6時間！】,【学歴・経験不問】やりたいことはこれから探そう！「安定した環境で働きたいから…」なんて志望理由だけでOK！★年間休日最大190日以上！,【学歴・経験不問】やりたいことはこれから探そう！「安定した環境で働きたいから…」なんて志望理由だけでOK！★年間休日最大190日以上！
27,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",【転勤なし】全国41都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…,【転勤なし】全国41都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…
28,株式会社アクトプロブレインズ | 過去全員が前職給与UP*リモート＆フレックス推奨*残業月平均10h,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
29,株式会社PGSホーム | 大阪府緊急雇用対策に賛同|月給40万円～!ワークライフバランス◎,300万円～500万円,300万円～500万円
30,株式会社建築資料研究社 | 資格系スクール「日建学院」を運営【大阪府緊急雇用対策に賛同】,【飛込み・テレアポ・ノルマ無し★100％反響営業★営業デビュー歓迎】お客様のご希望のお部屋探しをお手伝い♪ ★安心のチーム制 ★クリアな評価制度,【飛込み・テレアポ・ノルマ無し★100％反響営業★営業デビュー歓迎】お客様のご希望のお部屋探しをお手伝い♪ ★安心のチーム制 ★クリアな評価制度
31,株式会社エンパワー | ◆買取専門店「大吉」◆ 4年連続「ベストベンチャー100」選出！,【応募条件を満たす方は全員面接確約！】◆未経験歓迎 ◆40歳までの方 ◎学歴不問 ◎先輩の95%は未経験入社 ※複数名採用！同期と一緒に働けます！,【応募条件を満たす方は全員面接確約！】◆未経験歓迎 ◆40歳までの方 ◎学歴不問 ◎先輩の95%は未経験入社 ※複数名採用！同期と一緒に働けます！
32,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,【★積極採用中⇒池袋店/錦糸町店/新宿店/五反田店】 ☆転居を伴う転勤なし ☆全店舗最寄駅より5分…,【★積極採用中⇒池袋店/錦糸町店/新宿店/五反田店】 ☆転居を伴う転勤なし ☆全店舗最寄駅より5分…
33,株式会社コシダカ | ★月収例29万4000円！★年休110日以上★東証一部上場グループ,"【各社共通】 月給24万5,000円~月給40万円 ＋ インセンティブ ＋ 賞与 ＋ 諸手当 ※経験やスキルに応じ…","【各社共通】 月給24万5,000円~月給40万円 ＋ インセンティブ ＋ 賞与 ＋ 諸手当 ※経験やスキルに応じ…"
34,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,450万円～1000万円,450万円～1000万円
35,株式会社アイエスエフネット | ★在宅勤務OK★年休126日★平均残業7.8h★インセンMAX60％,《教室長のポスト多数》小・中学生への個別指導＆教室運営をお任せ★一度に教えるのは3人まで★就業後の事務処理＆残業なし(教室が定時で自動消灯),《教室長のポスト多数》小・中学生への個別指導＆教室運営をお任せ★一度に教えるのは3人まで★就業後の事務処理＆残業なし(教室が定時で自動消灯)
36,DSP株式会社 | 入社半年で月収100万円以上の社員多数/大阪府緊急雇用対策に賛同,《未経験、第二新卒歓迎！子ども好きな方ぜひ！面接1回のみ》★ポストチャンス多数 ■大卒以上(学部/学科/教員免許不問) ★社会人経験/職歴は不問,《未経験、第二新卒歓迎！子ども好きな方ぜひ！面接1回のみ》★ポストチャンス多数 ■大卒以上(学部/学科/教員免許不問) ★社会人経験/職歴は不問
37,株式会社PGSホーム | 【大阪府緊急雇用対策に賛同】40代からの未経験スタート多数！,大阪府（大阪市、豊中市、箕面市、吹田市、茨木市、高槻市、池田市）または兵庫県（伊丹市、西宮市）の各…,大阪府（大阪市、豊中市、箕面市、吹田市、茨木市、高槻市、池田市）または兵庫県（伊丹市、西宮市）の各…
38,株式会社YKH | 「Challenge Change Revolution」が合言葉◆入社祝い金100万円有,（1）週休制／月給21万5000円以上（一律手当1万円含む）＋インセンティブ ★半数以上の講師が月収30万円…,（1）週休制／月給21万5000円以上（一律手当1万円含む）＋インセンティブ ★半数以上の講師が月収30万円…
39,DSP株式会社 | <大阪府緊急雇用対策に賛同>【完全週休2日】【産休育休実績有】,360万円～700万円,360万円～700万円
40,株式会社ビッグモーター | 業界No.1◆インセンあり／年収800万円以上可能／残業少なめ,【社宅無料の案件多数】工場内や物流センターで簡単な機械操作・チェック⇒ボタンを押すだけ！のシンプル作業等 ★年休最大170日,【社宅無料の案件多数】工場内や物流センターで簡単な機械操作・チェック⇒ボタンを押すだけ！のシンプル作業等 ★年休最大170日
41,株式会社アイエスエフネット | ★在宅勤務OK★年休126日★平均残業7.8h★インセンMAX60％,＜履歴書・職務経歴書不要⇒学歴・経験など不問＞「アルバイトしかしたことがない…」「一人でモクモクと働きたい…」そんな方でも大丈夫！★面接1回,＜履歴書・職務経歴書不要⇒学歴・経験など不問＞「アルバイトしかしたことがない…」「一人でモクモクと働きたい…」そんな方でも大丈夫！★面接1回
42,株式会社PGSホーム | 【大阪府緊急雇用対策に賛同】未経験から最短距離で高収入を実現,【転勤なし】全国41都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…,【転勤なし】全国41都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…
43,ジャパニアス株式会社 | ◇日本ディープラーニング協会加盟◇時間外100％支給◇転勤なし,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
44,東建コーポレーション株式会社 | ＼若手限定求人／ 20代で年収100万円以上UPの先輩多数！,300万円～500万円,300万円～500万円
45,UTエイム株式会社 | 【東証一部上場グループ】安定性抜群★WEB面接OK,【チェックするだけ！などのシンプル業務をお任せ】生産・製造ラインにおける検品・検査や管理業務を担当していただきます。◆未経験安心スタート！,【チェックするだけ！などのシンプル業務をお任せ】生産・製造ラインにおける検品・検査や管理業務を担当していただきます。◆未経験安心スタート！
46,株式会社ミュゼプラチナム | ★週休3日もOK★コスメ社割／全身美容脱毛0円★WEB面接1回,＜履歴書・職務経歴書不要⇒学歴・経験など不問＞「アルバイトしかしたことがない…」「一人でモクモクと働きたい…」そんな方でも大丈夫！★面接1回,＜履歴書・職務経歴書不要⇒学歴・経験など不問＞「アルバイトしかしたことがない…」「一人でモクモクと働きたい…」そんな方でも大丈夫！★面接1回
47,東建コーポレーション株式会社 | ◎WEB面接実施中　◎全国採用実施中（自宅近くの拠点を考慮）,【転勤なし】全国41都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…,【転勤なし】全国41都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…
48,株式会社誠進堂 | 売上は昨年対比170％UP／平均月収50万円＆平均年収700万円！,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
